>>>>>>>>>>	LISTA P-R SOMA	>>>>>>>>>>
	-> 5520	-> 1.000531
	-> 5519	-> 2.244838
	-> 5518	-> 2.867432
	-> 5517	-> 2.786814
	-> 5516	-> 2.462566
	-> 5515	-> 2.309609
	-> 5514	-> 7.155588
	-> 5513	-> 5.920506
	-> 5512	-> 5.695816
	-> 5511	-> 1.697353
	-> 5510	-> 3.75647
	-> 5509	-> 1.81532
	-> 5508	-> 1.083995
	-> 5507	-> 2.665309
	-> 5506	-> 1.960954
	-> 5505	-> 4.166582
	-> 5504	-> 4.791082
	-> 5503	-> 4.900523
	-> 5502	-> 7.279651
	-> 5501	-> 8.33924
	-> 5500	-> 8.38595
	-> 5499	-> 12.441192
	-> 5498	-> 22.044359
	-> 5497	-> 18.790255
	-> 5496	-> 10.265972
	-> 5495	-> 4.590644
	-> 5494	-> 2.952292
	-> 5493	-> 1.856897
	-> 5492	-> 3.252281
	-> 5491	-> 0.942381
	-> 5490	-> 2.419715
	-> 5489	-> 0.634499
	-> 5488	-> 0.335452
	-> 5487	-> 1.41458
	-> 5486	-> 1.314983
	-> 5484	-> 0.426425
	-> 5483	-> 0.272208
	-> 5482	-> 0.363026
	-> 5480	-> 0.263297
	-> 5479	-> 1.580062
	-> 5478	-> 0.608523
	-> 5477	-> 1.81687
	-> 5476	-> 1.917117
	-> 5475	-> 2.735342
	-> 5474	-> 5.062666
	-> 5473	-> 6.063652
	-> 5472	-> 9.32022900000001
	-> 5471	-> 11.749976
	-> 5470	-> 17.746379
	-> 5469	-> 17.285379
	-> 5468	-> 6.82441400000001
	-> 5467	-> 5.587911
	-> 5466	-> 5.561998
	-> 5465	-> 8.376014
	-> 5464	-> 3.232685
	-> 5463	-> 10.200594
	-> 5462	-> 8.63567500000001
	-> 5461	-> 16.627533
	-> 5460	-> 17.687662
	-> 5459	-> 23.1868620000001
	-> 5458	-> 21.130843
	-> 5457	-> 18.93721
	-> 5456	-> 10.240956
	-> 5455	-> 7.068714
	-> 5454	-> 4.981008
	-> 5453	-> 4.981846
	-> 5452	-> 2.920271
	-> 5451	-> 2.84786
	-> 5450	-> 2.519667
	-> 0	-> 0
<<<<<<<<<<
>>>>>>>>>>	LISTA BANDAS	>>>>>>>>>>
	-> 00:00:00	-> 0	-> 10000
	-> 18:00:59	-> 5437	-> 5717
	-> 18:04:59	-> 5292	-> 5687
	-> 18:10:59	-> 5474	-> 5550
	-> 18:14:59	-> 5470	-> 5545
	-> 18:20:59	-> 5474	-> 5541
	-> 18:24:59	-> 5468	-> 5537
	-> 18:30:59	-> 5475	-> 5532
	-> 18:34:59	-> 5477	-> 5531
	-> 18:40:59	-> 5473	-> 5525
	-> 18:44:59	-> 5472	-> 5527
	-> 18:50:59	-> 5469	-> 5519
	-> 18:54:59	-> 5473	-> 5529
	-> 19:00:59	-> 5484	-> 5522
	-> 19:04:59	-> 5485	-> 5531
	-> 19:10:59	-> 5410	-> 5448
	-> 19:14:59	-> 5500	-> 5540
	-> 19:20:59	-> 5500	-> 5546
	-> 19:24:59	-> 5494	-> 5540
	-> 19:30:59	-> 5399	-> 5446
	-> 19:34:59	-> 5499	-> 5540
	-> 19:40:59	-> 5500	-> 5537
	-> 19:44:59	-> 5492	-> 5533
	-> 19:50:59	-> 5485	-> 5527
	-> 19:54:59	-> 5477	-> 5526
	-> 20:00:59	-> 5462	-> 5506
	-> 20:04:59	-> 5433	-> 5482
	-> 20:10:59	-> 5415	-> 5475
	-> 20:14:59	-> 5441	-> 5480
	-> 20:20:59	-> 5446	-> 5484
	-> 20:24:59	-> 5444	-> 5471
	-> 20:30:59	-> 5352	-> 5387
	-> 20:34:59	-> 5438	-> 5476
	-> 20:40:59	-> 5441	-> 5471
	-> 20:44:59	-> 5413	-> 5473
	-> 20:50:59	-> 5438	-> 5472
	-> 20:54:59	-> 5439	-> 5469
	-> 21:04:59	-> 5430	-> 5470
	-> 21:10:59	-> 5439	-> 5470
	-> 21:14:59	-> 5446	-> 5478
	-> 21:20:59	-> 5441	-> 5480
	-> 21:24:59	-> 5437	-> 5480
	-> 21:30:59	-> 5438	-> 5479
	-> 21:34:59	-> 5444	-> 5483
	-> 21:44:59	-> 5370	-> 5411
	-> 21:50:59	-> 5445	-> 5483
	-> 21:54:59	-> 5447	-> 5485
	-> 22:00:59	-> 5446	-> 5487
	-> 22:04:59	-> 5444	-> 5482
	-> 22:10:59	-> 5442	-> 5482
	-> 22:20:59	-> 5443	-> 5478
	-> 22:24:59	-> 5447	-> 5481
	-> 22:30:59	-> 5446	-> 5475
	-> 22:34:59	-> 5443	-> 5468
	-> 22:40:59	-> 5451	-> 5477
	-> 22:44:59	-> 5444	-> 5477
	-> 22:50:59	-> 5447	-> 5473
	-> 22:54:59	-> 5443	-> 5502
	-> 23:00:59	-> 5447	-> 5495
	-> 23:04:59	-> 5448	-> 5500
	-> 23:10:59	-> 5451	-> 5502
	-> 23:14:59	-> 5445	-> 5479
	-> 23:20:59	-> 5446	-> 5479
	-> 23:24:59	-> 5447	-> 5479
	-> 23:30:59	-> 5443	-> 5476
	-> 23:34:59	-> 5272	-> 5304
	-> 23:40:59	-> 5443	-> 5474
	-> 23:44:59	-> 5443	-> 5476
	-> 23:50:59	-> 5443	-> 5476
	-> 23:54:59	-> 5444	-> 5476
	-> 00:00:59	-> 5447	-> 5480
	-> 00:04:59	-> 5449	-> 5481
	-> 00:10:59	-> 5446	-> 5480
	-> 00:14:59	-> 5448	-> 5481
	-> 00:20:59	-> 5447	-> 5481
	-> 00:24:59	-> 5451	-> 5484
	-> 00:30:59	-> 5452	-> 5486
	-> 00:34:59	-> 5297	-> 5330
	-> 00:40:59	-> 5454	-> 5492
	-> 00:44:59	-> 5453	-> 5494
	-> 00:50:59	-> 5456	-> 5509
